release_date,budget,revenue_worldwide,runtime,genres,cast_popularity_mean,cast_popularity_max,director_popularity,original_language,imdb_rating,imdb_votes,mpaa_rating,domestic_box_office,rotten_tomatoes_score,metacritic_score,season
2022-03-17,80000000.0,250162278.0,100,"['Family', 'Comedy', 'Crime', 'Adventure', 'Animation', 'Action']",2.374966666666667,3.5479000000000003,0.316,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2005-08-11,26000000.0,177400000.0,116,"['Comedy', 'Romance']",3.385933333333333,4.2308,1.8742,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2006-04-19,15200000.0,23055884.0,99,"['Crime', 'Action', 'Adventure', 'Comedy']",1.3804,2.0769,0.17880000000000001,fr,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2005-02-04,15000000.0,47175038.0,88,"['Romance', 'Comedy']",5.262933333333334,9.3741,0.47350000000000003,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2015-01-24,35000000.0,83977925.5,84,['Documentary'],3.637666666666666,5.285,0.1124,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2008-09-16,5000000.0,83977925.5,90,"['Comedy', 'Music']",2.569866666666666,4.2025,0.323,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2014-10-15,68000000.0,211817906.0,135,"['War', 'Drama', 'Action']",5.841799999999999,8.3003,1.3389,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2013-09-19,46000000.0,122126687.0,153,"['Drama', 'Thriller', 'Crime']",5.1181,7.5337,2.1912,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2021-10-20,1183025.0,83977925.5,72,['Drama'],0.12183333333333302,0.1574,0.2544,fr,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2010-10-08,35000000.0,63027681.0,115,"['Drama', 'Action', 'Crime']",1.388233333333333,3.2803,0.6174000000000001,pt,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2004-09-28,35000000.0,83977925.5,86,"['Animation', 'Family', 'Comedy']",0.486699999999999,0.7715000000000001,0.45320000000000005,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2016-06-22,165000000.0,389681935.0,120,"['Action', 'Adventure', 'Science Fiction']",3.616633333333333,5.6474,1.5342,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2001-09-30,35000000.0,83977925.5,77,"['Animation', 'Family']",1.886366666666666,3.6779,1.2298,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2007-11-09,25000000.0,171627166.0,122,"['Crime', 'Thriller', 'Western']",5.6306,9.1116,1.0931,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2015-03-18,135000000.0,368871007.0,94,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",1.814566666666666,2.5077,0.5459,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Spring
2025-06-18,150000000.0,153797125.0,98,"['Family', 'Comedy', 'Adventure', 'Animation', 'Science Fiction']",3.1564,8.3153,0.7414000000000001,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2015-01-28,74000000.0,325186032.0,93,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",1.7065000000000001,2.7145,0.2401,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
2024-06-11,200000000.0,1698863816.0,97,"['Animation', 'Adventure', 'Comedy', 'Family']",5.771733333333334,15.4658,0.8587,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2000-08-15,35000000.0,3818452.0,117,"['Drama', 'Comedy', 'Mystery']",0.568233333333333,0.6517000000000001,0.3942,fr,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2011-11-23,45000000.0,165184237.0,103,"['Family', 'Comedy', 'Music']",4.251133333333334,9.3741,0.7501,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2021-06-21,35000000.0,83977925.5,85,"['Animation', 'Mystery', 'Action', 'Crime']",3.406466666666666,6.3641,0.33630000000000004,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2021-07-26,35000000.0,83977925.5,87,"['Animation', 'Mystery', 'Action', 'Crime']",3.406466666666666,6.3641,0.33630000000000004,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2022-06-01,35000000.0,83977925.5,95,['Documentary'],0.1966,0.33580000000000004,0.3032,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2023-11-13,175000000.0,254997360.0,95,"['Animation', 'Family', 'Fantasy', 'Adventure']",2.5458,3.915,0.1757,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2021-09-01,14000000.0,21753705.0,99,"['Romance', 'Drama']",2.239999999999999,2.9869,0.38670000000000004,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Fall
2022-08-24,14000000.0,19238073.0,95,"['Romance', 'Drama']",2.239999999999999,2.9869,0.38670000000000004,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Summer
2016-02-11,150000000.0,1025521689.0,109,"['Animation', 'Adventure', 'Family', 'Comedy']",6.124766666666666,7.0492,1.9593,en,6.6,96014.0,Unknown,0.0,64.0,58.0,Winter
